text,priority
"Submit DBMS assignment by Feb 10 at 11:59 PM",High
"OS lab record submission deadline is tomorrow",High
"Exam scheduled on Monday at 9 AM",High
"Project presentation on Feb 15 at 2 PM",High
"Urgent: fill internship form before tonight",High
"Team meeting tomorrow at 10 AM",High
"Client call scheduled today at 4 PM",High
"Hackathon registration closes today",High
"Final year project review next week",High
"Pay exam fees before Feb 12",High
"Interview scheduled on Feb 18 at 11 AM",High
"Reminder: submit scholarship documents by Friday",High

"Reminder: project discussion on Feb 5 at 3 PM",Medium
"Weekly sprint planning meeting tomorrow",Medium
"Follow up on yesterday’s meeting",Medium
"Reminder to update project report",Medium
"Discussion regarding module integration",Medium
"Meeting rescheduled to next Tuesday",Medium
"Prepare draft for internal review",Medium
"Faculty meeting agenda for tomorrow",Medium
"Reminder to submit feedback form",Medium
"Class test postponed to next week",Medium
"Team sync-up call on Friday",Medium
"Review comments shared for assignment",Medium

"FYI weekly newsletter",Low
"Campus event highlights",Low
"New internship opportunities available",Low
"Invitation to cultural fest",Low
"Monthly department newsletter",Low
"New courses launched this semester",Low
"Library book fair announcement",Low
"General notice regarding parking",Low
"Promotion: student discount offers",Low
"Alumni meetup invitation",Low
"Holiday notice for next week",Low
"Information about campus facilities",Low
